cell_class	channel_combo	plate	well
Interphase	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	1	B3
Interphase	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	1	B3
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	1	B3
all	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	1	B3
Interphase	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	1	A1
Interphase	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	1	A1
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	1	A1
all	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	1	A1
Interphase	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	1	B1
Interphase	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	1	B1
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	1	B1
all	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	1	B1
Interphase	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	2	A3
Interphase	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	2	A3
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	2	A3
all	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	2	A3
Interphase	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	2	A2
Interphase	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	2	A2
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	2	A2
all	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	2	A2
Interphase	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	2	B2
Interphase	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	2	B2
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	2	B2
all	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	2	B2
Interphase	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	1	A3
Interphase	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	1	A3
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	1	A3
all	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	1	A3
Interphase	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	2	B3
Interphase	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	2	B3
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	2	B3
all	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	2	B3
Interphase	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	1	B2
Interphase	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	1	B2
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	1	B2
all	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	1	B2
Interphase	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	2	A1
Interphase	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	2	A1
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	2	A1
all	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	2	A1
Interphase	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	2	B1
Interphase	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	2	B1
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	2	B1
all	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	2	B1
Interphase	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	1	A2
Interphase	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	1	A2
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	1	A2
all	DAPI_ATACsee_H4Kacme_pSer5_H3K4me3_H3K27ac_pSer2_H3K9me3	1	A2
